ASP,OrderingCode,Productno,Denomination,Qty,Comments,BOMFilter,Build Type
Ericsson,5E2L18SCIDERS,SXK1253086/1,Cable guide,3,,,B3 NB
Ericsson,5E2L18SCIDERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB
Ericsson,5E2L18SCIDERS,RPM777528/02500,ET Power cable,3,,,B3 NB
Ericsson,5E2L18SCIDERS,RPM777567/05000,Grounding Cable,3,,,B3 NB
TEF,5E2L18SCIDERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB
TEF,5E2L18SCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB
TEF,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
TEF,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
TEF,5E2L18SCIDERS,KRC161777/1,RADIO UNIT/Radio 4480B1B3,2,,,B3 NB
TEF,5E2L18SCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB
TEF,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCIDERS,NTB101242/1,SAU 02 01 kit,1,,,B3 NB
Ericsson,5E2L18SCIDERS,RPM777429/01200,SAU 02 Power and EC-Bus cable,1,,,B3 NB
Ericsson,5E2L18SCOAERS,SXK1253086/1,Cable guide,3,,,B3 NB
Ericsson,5E2L18SCOAERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB
Ericsson,5E2L18SCOAERS,RPM777528/02500,ET Power cable,3,,,B3 NB
Ericsson,5E2L18SCOAERS,RPM777567/05000,Grounding Cable,3,,,B3 NB
TEF,5E2L18SCOAERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB
TEF,5E2L18SCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB
TEF,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
TEF,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
TEF,5E2L18SCOAERS,KRC161777/1,RADIO UNIT/Radio 4480B1B3,2,,,B3 NB
TEF,5E2L18SCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB
TEF,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCSFERS,SXK1253086/1,Cable guide,3,,,B3 NB
Ericsson,5E2L18SCSFERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB
Ericsson,5E2L18SCSFERS,RPM777528/02500,ET Power cable,3,,,B3 NB
Ericsson,5E2L18SCSFERS,RPM777567/05000,Grounding Cable,3,,,B3 NB
Ericsson,5E2L18SCSFERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB
Ericsson,5E2L18SCSFERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCSFERS,KRC161777/1,RADIO UNIT/Radio 4480B1B3,2,,,B3 NB
Ericsson,5E2L18SCSFERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB
Ericsson,5E2L18SCSFERS,BKV106246/1,"Fan tray, 24 VDC, 2.0 A, 358x29x54 mm (Radio 4480) ",2,,,B3 NB
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2LCIDERS,SXK1253086/1,Cable guide,3,,,B3 NB
Ericsson,5E2LCIDERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB
Ericsson,5E2LCIDERS,RPM777528/02500,ET Power cable,3,,,B3 NB
Ericsson,5E2LCIDERS,RPM777567/05000,Grounding Cable,3,,,B3 NB
TEF,5E2LCIDERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB
TEF,5E2LCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB
TEF,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
TEF,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
Ericsson,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB
