ASP,OrderingCode,Productno,Denomination,Qty,Comments,BOMFilter,Build Type,,,,,
Ericsson,5E2L18SCIDERS,SXK1253086/1,Cable guide,3,,,B3 NB,,,5E2L18SCIDERS,SXK1253086/1,Cable guide
Ericsson,5E2L18SCIDERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB,,,5E2L18SCIDERS,KDV127621/11,Baseband 6630 with fan
Ericsson,5E2L18SCIDERS,RPM777528/02500,ET Power cable,3,,,B3 NB,,,5E2L18SCIDERS,RPM777528/02500,ET Power cable
Ericsson,5E2L18SCIDERS,RPM777567/05000,Grounding Cable,3,,,B3 NB,,,5E2L18SCIDERS,RPM777567/05000,Grounding Cable
TEF,5E2L18SCIDERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB,,,5E2L18SCIDERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,5E2L18SCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB,,,5E2L18SCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2L18SCIDERS,KRC161777/1,RADIO UNIT/Radio 4480B1B3,2,,,B3 NB,,,5E2L18SCIDERS,KRC161777/1,RADIO UNIT/Radio 4480B1B3
