"B3 SCD Slide no.
B3-CCR (Pg) no.",TelefonicaConfiguration,"GSM
12W/
20W",2G Q-Code,3G Q-Code,"4G (L8 / L9 / L18 / L21)
Q-Code",4G (L18 4x4) Q-Code,4G (L21 4415) Q-Code,1. Baseline B3 Ordering Code,Comments Relating to 'B3' Upgrade,1a. L800 RRUS 11 to Radio 2217 Swap Ordering Code,4G L9 + L26 Q-Code,"4G L9 + L26
(L18 4x4) Q-Code","4G L9 + L26
(L21 4415) Q-Code",4. L26 UG Ordering Code,"4G L9 + T23 4x4
(No N7/N21) Q-Code","4G L9 + T23 4x4 
(L18 4x4) (No N7/N21) Q-Code","4G L9 + T23 4x4 
(L21 4415) (No N7/N21) Q-Code","4G L9 + T23 4x4
(N7/N21) Q-Code","4G L9 + T23 4x4 
(L18 4x4) (N7/N21) Q-Code","4G L9 + T23 4x4 
(L21 4415) (N7/N21) Q-Code","3. 4x4 T23 UG
Ordering Code
(Macro / Orion)","4G L9 + L26 + T23 4x4
(No N7/N21) Q-Code","4G L9 + L26 + T23 4x4
(L18 4x4) (No N7/N21) Q-Code","4G L9 + L26 + T23 4x4
(L21 4415) (No N7/N21) Q-Code","4G L9 + L26 +
T23 4x4 (N7/N21) Q-Code","4G L9 + L26 + T23 4x4
(L18 4x4) (N7/N21) Q-Code","4G L9 + L26 + T23 4x4
(L21 4415) (N7/N21) Q-Code","2a. L1800 UG Ordering
Code","2b. 4415 L2100 UG Ordering
Code","TEF Only 5G
T34 8x8 Q-Code","5. TEF Only 5G
T34 8x8 UG Ordering Code","TEF Only 5G T34
M-MiMo Q-Code","6. TEF Only 5G
T34 M-MiMo UG
Ordering Code","TEF & VF 5G MoRAN
T34 8x8 Q-Code","7. VF 5G T34 8x8 MoRAN UG
Ordering Code","TEF & VF 5G MoRAN
T34 M-MiMo Q-Code","8. VF 5G T34
M-MiMo MoRAN UG
Ordering Code","TEF Only
5G N21 4x4
Q-Code","TEF Only
5G N21 4x4
(4415) Q-Code","TEF Only 5G T34 8x8 +
N21 4x4 Q-Code","TEF Only 5G T34 8x8 +
N21 4x4 (4415) Q-Code","TEF Only 5G T34 M-MiMo +
N21 4x4 Q-Code","TEF Only 5G T34 M-MiMo +
N21 4x4 (4415) Q-Code","TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 
Q-Code","TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415)
Q-Code","TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 
Q-Code","TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 (4415) 
Q-Code",9. ESS 5G N21 4x4 UG Ordering Code,"10. T23 BB + ESS
5G N21 4x4 UG
Ordering Code","TEF Only
5G N7 2x2
Q-Code","TEF Only 5G N21 4x4 +
TEF Only N7 2x2 Q-Code","TEF Only 5G N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code","TEF Only 5G T34 8x8 +
TEF Only N7 2x2 Q-Code","TEF Only 5G T34 M-MiMo +
TEF Only N7 2x2 Q-Code","TEF Only 5G T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code","TEF Only 5G T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code","TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code","TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code","TEF & VF 5G MoRAN T34 8x8 +
TEF Only N7 2x2 Q-Code","TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N7 2x2 Q-Code","TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code","TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code","TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code","TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code","11.  5G N7 2x2 +
4G/5G MM BB UG
Ordering Code","12. 5G N7 2x2 + T23
BB + 4G/5G MM BB
UG Ordering Code",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comments Relating to 'B3' Upgrade (Config Tool),"B3 SCD Slide no.
B3-CCR (Pg) no.",Cab1 (Baseline),Cab1 (N34),Cab1 (N21/N7),Cab2 (Baseline),Cab2 (N34),Cab2 (N21/N7),Connectivity (Baseline) (L18 2x2/NA) (Apollo/Elara/NA),Connectivity (Baseline) (L18 2x2/NA) (Orion),Connectivity (Baseline) (L18 4x4/NA) (Apollo/Elara/NA),Connectivity (Baseline) (L18 4x4/NA) (Orion),Connectivity (Baseline) including GU900,Connectivity N34 (Tef) 8T8R,Connectivity N34 (Tef) M-MIMO,Connectivity N34 (MoRAN) 8T8R,Connectivity N34 (MoRAN) M-MIMO,Connectivity N21/N7 (Tef) (L18 2x2/NA) (L21 2217) (Apollo/Elara/NA),Connectivity N21/N7 (Tef) (L18 2x2/NA) (L21 2217) (Orion),Connectivity N21/N7 (Tef) (L18 2x2/NA) (L21 4415) (Apollo/Elara/NA),Connectivity N21/N7 (Tef) (L18 2x2/NA) (L21 4415) (Orion),Connectivity N21/N7 (Tef) (L18 2x2/NA) TX,Connectivity N21/N7 (Tef) (L18 4x4/NA) (L21 2217) (Apollo/Elara/NA),Connectivity N21/N7 (Tef) (L18 4x4/NA) (L21 2217) (Orion),Connectivity N21/N7 (Tef) (L18 4x4/NA) (L21 4415) (Apollo/Elara/NA),Connectivity N21/N7 (Tef) (L18 4x4/NA) (L21 4415) (Orion),Connectivity N21/N7 (Tef) (L18 4x4/NA) TX,Connectivity N21/N7 (MoRAN) (L18 2x2/NA) (L21 2217),Connectivity N21/N7 (MoRAN) (L18 2x2/NA) (L21 4415),Connectivity N21/N7 (MoRAN) (L18 4x4/NA) (L21 2217),Connectivity N21/N7 (MoRAN) (L18 4x4/NA) (L21 4415),CPRI Base,CPRI N34,CPRI N21/N7,Check 20W matches 12W,Connectivity SIU-A 
MORAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B3 Indoor ERS L18 Small 3 Sector,20W,G6E3300ieSA6,36E3300ieMRG,L6E33z33y3Xy0000003Xzie70,NA,NA,5E3L18SCIDERS,,NA,L6E33z33y3Xy00033v3Xzie70,NA,NA,6E3IDB2V26,L6E33z33y3Xy33w0003Xzie70,NA,NA,L6E33z33y3Xy33w0003XzieH0,NA,NA,6E3IDB2T23,L6E33z33y3Xy33w33v3Xzie70,NA,NA,L6E33z33y3Xy33w33v3XzieH0,NA,NA,NA,NA,56E34die01,6E3IDB2T34,56E34Nie01,6E3IDB2T343278M,56E34die02,6E3IDB3T34V,56E34Nie02,6E3IDB3T34V3278M,56E21aie0A,NA,56E21a34die0C,NA,56E21a34Nie0C,NA,56E21a34die0D,NA,56E21a34Nie0D,NA,6E3N21MM,6E3N21MMT23BB,56E7cie0A,56E7c21aie0A,NA,56E7c34die0C,56E7c34Nie0C,56E7c21a34die0C,NA,56E7c21a34Nie0C,NA,56E7c34die0D,56E7c34Nie0D,56E7c21a34die0D,NA,56E7c21a34Nie0D,NA,6E3N7MM,6E3N7MMT23BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,0,0,0,0,0,3,0,0,8,9,10,11,0,0,4,0,19,0,0,4,0,19,0,0,0,0,0,0,0,,0
11,B3 Outdoor ERS L18 Small 3 Sector,20W,G6E3300oeSA6,36E3300oeMRG,L6E33z33y3Xy0000003Xzoe70,NA,NA,5E3L18SCOAERS,,NA,L6E33z33y3Xy00033v3Xzoe70,NA,NA,6E3IDB2V26,L6E33z33y3Xy33w0003Xzoe70,NA,NA,L6E33z33y3Xy33w0003XzoeH0,NA,NA,6E3IDB2T23,L6E33z33y3Xy33w33v3Xzoe70,NA,NA,L6E33z33y3Xy33w33v3XzoeH0,NA,NA,NA,NA,56E34doe01,6E3IDB2T34,56E34Noe01,6E3IDB2T343278M,56E34doe02,6E3IDB3T34V,56E34Noe02,6E3IDB3T34V3278M,56E21aoe0A,NA,56E21a34doe0C,NA,56E21a34Noe0C,NA,56E21a34doe0D,NA,56E21a34Noe0D,NA,6E3N21MM,6E3N21MMT23BB,56E7coe0A,56E7c21aoe0A,NA,56E7c34doe0C,56E7c34Noe0C,56E7c21a34doe0C,NA,56E7c21a34Noe0C,NA,56E7c34doe0D,56E7c34Noe0D,56E7c21a34doe0D,NA,56E7c21a34Noe0D,NA,6E3N7MM,6E3N7MMT23BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,2,3,0,0,0,0,0,3,0,0,8,9,10,11,0,0,4,0,19,0,0,4,0,19,0,0,0,0,0,0,0,,0
13,B3 Indoor ERS L18 Small 2 Sector,20W,G6E2200ieSA6,36E2200ieMRG,L6E22z22y2Xy0000002Xzie70,NA,NA,5E2L18SCIDERS,,NA,L6E22z22y2Xy00022v2Xzie70,NA,NA,6E2IDB2V26,L6E22z22y2Xy22w0002Xzie70,NA,NA,L6E22z22y2Xy22w0002XzieH0,NA,NA,6E2IDB2T23,L6E22z22y2Xy22w22v2Xzie70,NA,NA,L6E22z22y2Xy22w22v2XzieH0,NA,NA,NA,NA,56E34fie01,6E2IDB2T34,56E34Qie01,6E2IDB2T343278M,56E34fie02,6E2IDB3T34V,56E34Qie02,6E2IDB3T34V3278M,56E21bie0A,NA,56E21b34fie0C,NA,56E21b34Qie0C,NA,56E21b34fie0D,NA,56E21b34Qie0D,NA,6E2N21MM,6E2N21MMT23BB,56E7die0A,56E7d21bie0A,NA,56E7d34fie0C,56E7d34Qie0C,56E7d21b34fie0C,NA,56E7d21b34Qie0C,NA,56E7d34fie0D,56E7d34Qie0D,56E7d21b34fie0D,NA,56E7d21b34Qie0D,NA,6E2N7MM,6E2N7MMT23BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,2,3,0,0,0,0,0,3,0,0,8,9,10,11,0,0,4,0,19,0,0,4,0,19,0,0,0,0,0,0,0,,0
13,B3 Outdoor ERS L18 Small 2 Sector,20W,G6E2200oeSA6,36E2200oeMRG,L6E22z22y2Xy0000002Xzoe70,NA,NA,5E2L18SCOAERS,,NA,L6E22z22y2Xy00022v2Xzoe70,NA,NA,6E2IDB2V26,L6E22z22y2Xy22w0002Xzoe70,NA,NA,L6E22z22y2Xy22w0002XzoeH0,NA,NA,6E2IDB2T23,L6E22z22y2Xy22w22v2Xzoe70,NA,NA,L6E22z22y2Xy22w22v2XzoeH0,NA,NA,NA,NA,56E34foe01,6E2IDB2T34,56E34Qoe01,6E2IDB2T343278M,56E34foe02,6E2IDB3T34V,56E34Qoe02,6E2IDB3T34V3278M,56E21boe0A,NA,56E21b34foe0C,NA,56E21b34Qoe0C,NA,56E21b34foe0D,NA,56E21b34Qoe0D,NA,6E2N21MM,6E2N21MMT23BB,56E7doe0A,56E7d21boe0A,NA,56E7d34foe0C,56E7d34Qoe0C,56E7d21b34foe0C,NA,56E7d21b34Qoe0C,NA,56E7d34foe0D,56E7d34Qoe0D,56E7d21b34foe0D,NA,56E7d21b34Qoe0D,NA,6E2N7MM,6E2N7MMT23BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,2,3,0,0,0,0,0,3,0,0,8,9,10,11,0,0,4,0,19,0,0,4,0,19,0,0,0,0,0,0,0,,0
14,B3 Indoor ERS Small 3 Sector,20W,G6E3300ieSA6,36E3300ieMRG,L6E33z00033v0000003Xzie70,NA,NA,5E3SCIDERS,,NA,L6E33z00033v00033v3Xzie70,NA,NA,6E3IDB2V26,L6E33z00033v33w0003Xzie70,NA,NA,L6E33z00033v33w0003XzieH0,NA,NA,6E3IDB2T23,L6E33z00033v33w33v3Xzie70,NA,NA,L6E33z00033v33w33v3XzieH0,NA,NA,NA,NA,56E34die01,6E3IDB2T34,56E34Nie01,6E3IDB2T343278M,56E34die02,6E3IDB3T34V,56E34Nie02,6E3IDB3T34V3278M,56E21yie0A,NA,56E21y34die0C,NA,56E21y34Nie0C,NA,56E21y34die0D,NA,56E21y34Nie0D,NA,6E3N21MM,6E3N21MMT23BB,56E7cie0A,56E7c21yie0A,NA,56E7c34die0C,56E7c34Nie0C,56E7c21y34die0C,NA,56E7c21y34Nie0C,NA,56E7c34die0D,56E7c34Nie0D,56E7c21y34die0D,NA,56E7c21y34Nie0D,NA,6E3N7MM,6E3N7MMT23BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,2,3,0,0,0,0,0,1,0,0,8,9,10,11,0,0,2,0,19,0,0,2,0,19,0,0,0,0,0,0,0,,0
14,B3 Outdoor ERS Small 3 Sector,20W,G6E3300oeSA6,36E3300oeMRG,L6E33z00033v0000003Xzoe70,NA,NA,5E3SCOAERS,,NA,L6E33z00033v00033v3Xzoe70,NA,NA,6E3IDB2V26,L6E33z00033v33w0003Xzoe70,NA,NA,L6E33z00033v33w0003XzoeH0,NA,NA,6E3IDB2T23,L6E33z00033v33w33v3Xzoe70,NA,NA,L6E33z00033v33w33v3XzoeH0,NA,NA,NA,NA,56E34doe01,6E3IDB2T34,56E34Noe01,6E3IDB2T343278M,56E34doe02,6E3IDB3T34V,56E34Noe02,6E3IDB3T34V3278M,56E21yoe0A,NA,56E21y34doe0C,NA,56E21y34Noe0C,NA,56E21y34doe0D,NA,56E21y34Noe0D,NA,6E3N21MM,6E3N21MMT23BB,56E7coe0A,56E7c21yoe0A,NA,56E7c34doe0C,56E7c34Noe0C,56E7c21y34doe0C,NA,56E7c21y34Noe0C,NA,56E7c34doe0D,56E7c34Noe0D,56E7c21y34doe0D,NA,56E7c21y34Noe0D,NA,6E3N7MM,6E3N7MMT23BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,2,3,0,0,0,0,0,1,0,0,8,9,10,11,0,0,2,0,19,0,0,2,0,19,0,0,0,0,0,0,0,,0
16,B3 Indoor ERS Small 2 Sector,20W,G6E2200ieSA6,36E2200ieMRG,L6E22z00022v0000002Xzie70,NA,NA,5E2SCIDERS,,NA,L6E22z00022v00022v2Xzie70,NA,NA,6E2IDB2V26,L6E22z00022v22w0002Xzie70,NA,NA,L6E22z00022v22w0002XzieH0,NA,NA,6E2IDB2T23,L6E22z00022v22w22v2Xzie70,NA,NA,L6E22z00022v22w22v2XzieH0,NA,NA,NA,NA,56E34fie01,6E2IDB2T34,56E34Qie01,6E2IDB2T343278M,56E34fie02,6E2IDB3T34V,56E34Qie02,6E2IDB3T34V3278M,56E21zie0A,NA,56E21z34fie0C,NA,56E21z34Qie0C,NA,56E21z34fie0D,NA,56E21z34Qie0D,NA,6E2N21MM,6E2N21MMT23BB,56E7die0A,56E7d21zie0A,NA,56E7d34fie0C,56E7d34Qie0C,56E7d21z34fie0C,NA,56E7d21z34Qie0C,NA,56E7d34fie0D,56E7d34Qie0D,56E7d21z34fie0D,NA,56E7d21z34Qie0D,NA,6E2N7MM,6E2N7MMT23BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,2,3,0,0,0,0,0,1,0,0,8,9,10,11,0,0,2,0,19,0,0,2,0,19,0,0,0,0,0,0,0,,0
16,B3 Outdoor ERS Small 2 Sector,20W,G6E2200oeSA6,36E2200oeMRG,L6E22z00022v0000002Xzoe70,NA,NA,5E2SCOAERS,,NA,L6E22z00022v00022v2Xzoe70,NA,NA,6E2IDB2V26,L6E22z00022v22w0002Xzoe70,NA,NA,L6E22z00022v22w0002XzoeH0,NA,NA,6E2IDB2T23,L6E22z00022v22w22v2Xzoe70,NA,NA,L6E22z00022v22w22v2XzoeH0,NA,NA,NA,NA,56E34foe01,6E2IDB2T34,56E34Qoe01,6E2IDB2T343278M,56E34foe02,6E2IDB3T34V,56E34Qoe02,6E2IDB3T34V3278M,56E21zoe0A,NA,56E21z34foe0C,NA,56E21z34Qoe0C,NA,56E21z34foe0D,NA,56E21z34Qoe0D,NA,6E2N21MM,6E2N21MMT23BB,56E7doe0A,56E7d21zoe0A,NA,56E7d34foe0C,56E7d34Qoe0C,56E7d21z34foe0C,NA,56E7d21z34Qoe0C,NA,56E7d34foe0D,56E7d34Qoe0D,56E7d21z34foe0D,NA,56E7d21z34Qoe0D,NA,6E2N7MM,6E2N7MMT23BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,2,3,0,0,0,0,0,1,0,0,8,9,10,11,0,0,2,0,19,0,0,2,0,19,0,0,0,0,0,0,0,,0
17,B3 Outdoor ERS Small SF 3 Sector,20W,G6E3300ysSA6,36E3300ysMRG,L6E33z00033v0000003Xzys70,NA,NA,5E3SCSFERS,,NA,L6E33z00033v00033v3Xzys70,NA,NA,6E3IDB2V26,L6E33z00033v33w0003Xzys70,NA,NA,L6E33z00033v33w0003XzysH0,NA,NA,6E3IDB2T23,L6E33z00033v33w33v3Xzys70,NA,NA,L6E33z00033v33w33v3XzysH0,NA,NA,NA,NA,56E34dys01,6E3IDB2T34,56E34Nys01,6E3IDB2T343278M,56E34dys02,6E3IDB3T34V,56E34Nys02,6E3IDB3T34V3278M,56E21yys0A,NA,56E21y34dys0C,NA,56E21y34Nys0C,NA,56E21y34dys0D,NA,56E21y34Nys0D,NA,6E3N21MM,6E3N21MMT23BB,56E7cys0A,56E7c21yys0A,NA,56E7c34dys0C,56E7c34Nys0C,56E7c21y34dys0C,NA,56E7c21y34Nys0C,NA,56E7c34dys0D,56E7c34Nys0D,56E7c21y34dys0D,NA,56E7c21y34Nys0D,NA,6E3N7MM,6E3N7MMT23BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2,3,0,0,0,0,0,1,1,0,8,9,10,11,0,0,2,2,19,0,0,2,2,19,0,0,0,0,0,0,0,,0
