SCD page,TelefonicaConfiguration,SCD,Capacity Model,12W/20W,Sectors,Indoor/Outdoor,2G/3G/4G Cabinet Type,Double cabinet,Lancaster/York cabinet upgrade,BB units in York/Lancaster cab,G9 end type,L800 end type,L1800 end type,2100 existing,LTE DUS to BB UG,Concatenation,Telefonica Configuration,Comments
MORAN,,,,,,,,,,,,,,,,,,
11,B3 Indoor ERS L18 Small 3 Sector,MORAN,Small,20W,3,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,ERS,N/A,N/A,MORAN Small 20W 3 Indoor Indoor Eltek No N/A No ERS ERS ERS N/A N/A,B3 Indoor ERS L18 Small 3 Sector,
11,B3 Outdoor ERS L18 Small 3 Sector,MORAN,Small,20W,3,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,ERS,N/A,N/A,MORAN Small 20W 3 Outdoor Outdoor Eltek No N/A No ERS ERS ERS N/A N/A,B3 Outdoor ERS L18 Small 3 Sector,
13,B3 Indoor ERS L18 Small 2 Sector,MORAN,Small,20W,2,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,ERS,N/A,N/A,MORAN Small 20W 2 Indoor Indoor Eltek No N/A No ERS ERS ERS N/A N/A,B3 Indoor ERS L18 Small 2 Sector,
13,B3 Outdoor ERS L18 Small 2 Sector,MORAN,Small,20W,2,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,ERS,N/A,N/A,MORAN Small 20W 2 Outdoor Outdoor Eltek No N/A No ERS ERS ERS N/A N/A,B3 Outdoor ERS L18 Small 2 Sector,
14,B3 Indoor ERS Small 3 Sector,MORAN,Small,20W,3,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,MORAN Small 20W 3 Indoor Indoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Indoor ERS Small 3 Sector,
14,B3 Outdoor ERS Small 3 Sector,MORAN,Small,20W,3,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,MORAN Small 20W 3 Outdoor Outdoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Outdoor ERS Small 3 Sector,
16,B3 Indoor ERS Small 2 Sector,MORAN,Small,20W,2,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,MORAN Small 20W 2 Indoor Indoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Indoor ERS Small 2 Sector,
16,B3 Outdoor ERS Small 2 Sector,MORAN,Small,20W,2,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,MORAN Small 20W 2 Outdoor Outdoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Outdoor ERS Small 2 Sector,
17,B3 Outdoor ERS Small SF 3 Sector,MORAN,Small,20W,3,Outdoor,Outdoor All units in York/Shire cab,No,N/A,Yes,ERS,ERS,N/A,N/A,N/A,MORAN Small 20W 3 Outdoor Outdoor All units in York/Shire cab No N/A Yes ERS ERS N/A N/A N/A,B3 Outdoor ERS Small SF 3 Sector,
