Unit,Radio no. (Config Tool),Configuration,Match,Qty,Site Type Radio is deployed to,Site Type Radio Abbr,Duplicates, GSM Q-code,LEN 2G, UMTS Q-code,LEN 3G, LTE Q-code,LEN 4G,5G Q-code,LEN 5G,QcodePower,LEN Qcode Power,QcodePattern,IdlePCunit,IdleOPunit,IdleHDunit,TypPCunit,TypOPunit,TypHDunit,HighPCunit,HighOPunit,HighHDunit,MaxPCunit,MaxOPunit,MaxHDunit,Origi0l Order v8,IdlePCtotal,IdleOPtotal,IdleHDtotal,TypPCtotal,TypOPtotal,TypHDtotal,HighPCtotal,HighOPtotal,HighHDtotal,MaxPCtotal,MaxOPtotal,MaxHDtotal
RRUS 12 B8,Radio 26,6TRX SM,0,0,Other,M,0,G6E........436E.........L6E......................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E........436E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*,148,G6E........436E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*M$,240,5,235,273,12,261,328,29,298,599,120,479,12,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2212 B8,Radio 5,8TRX SM,0,0,Other,M,16,G6E......N.536E.........L6E......................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......N.536E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*,148,G6E......N.536E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*M$,206,20,186,226,28,197,258,25,233,513,160,353,23,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2212 B8,Radio 6,6TRX SM,0,0,Stealth,S,16,G6E......N.536E.........L6E......................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......N.536E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*,148,G6E......N.536E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*S$,206,20,186,220,26,194,258,25,233,431,120,311,24,0,0,0,0,0,0,0,0,0,0,0,0
RUS 02 B8,Radio 1,4TRX SM,0,0,Other,M,15,G6E......N.136E.........L6E......................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......N.136E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*,148,G6E......N.136E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*M$,195,5,190,211,10,202,244,21,223,383,72,310,46,0,0,0,0,0,0,0,0,0,0,0,0
RUS 02 B8,Radio 2,3TRX SM,0,0,Stealth,S,15,G6E......N.136E.........L6E......................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......N.136E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*,148,G6E......N.136E.........L6E......................G6E.........36E.........L6E......................G6E.........36E.........L6E......................*S$,195,5,190,207,8,199,232,17,215,336,54,282,47,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2212 B8,Radio 7a,4cc SM,0,0,Other,M,0,G6E......N..36E........DL6E......................,49,G6E.........36E........DL6E......................,49,G6E.........36E.........L6E......................,49,*,1,G6E......N..36E........DL6E......................G6E.........36E........DL6E......................G6E.........36E.........L6E......................*,148,G6E......N..36E........DL6E......................G6E.........36E........DL6E......................G6E.........36E.........L6E......................*M$,179,11,168,215,24,191,224,14,210,342,80,262,26,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 11a,2cc SM,0,0,Other,M,0,.................................................,49,G6E.........36E........CL6E......33..............,49,G6E.........36E.........L6E......................,49,*,1,.................................................G6E.........36E........CL6E......33..............G6E.........36E.........L6E......................*,148,.................................................G6E.........36E........CL6E......33..............G6E.........36E.........L6E......................*M$,122,6,117,134,12,122,173,32,141,195,40,155,35,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 11b,2cc SM,0,0,Other,M,0,.................................................,49,G6E.........36E........CL6E......22..............,49,G6E.........36E.........L6E......................,49,*,1,.................................................G6E.........36E........CL6E......22..............G6E.........36E.........L6E......................*,148,.................................................G6E.........36E........CL6E......22..............G6E.........36E.........L6E......................*M$,122,6,117,134,12,122,173,32,141,195,40,155,36,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 11c,4cc SM,0,0,Other,M,0,.................................................,49,G6E.........36E........CL6E......11..............,49,G6E.........36E.........L6E......................,49,*,1,.................................................G6E.........36E........CL6E......11..............G6E.........36E.........L6E......................*,148,.................................................G6E.........36E........CL6E......11..............G6E.........36E.........L6E......................*M$,133,11,122,158,24,134,242,64,178,286,80,206,37,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 11d,4cc SM,0,0,Other,M,0,.................................................,49,G6E.........36E........CL6E......36..............,49,G6E.........36E.........L6E......................,49,*,1,.................................................G6E.........36E........CL6E......36..............G6E.........36E.........L6E......................*,148,.................................................G6E.........36E........CL6E......36..............G6E.........36E.........L6E......................*M$,133,11,122,158,24,134,242,64,178,286,80,206,38,0,0,0,0,0,0,0,0,0,0,0,0
